DATE,XAUUSD
2023-08-29,1937.435
2023-08-30,1942.425
2023-08-31,1939.855
2023-09-01,1939.88
2023-09-04,1938.455
2023-09-05,1926.015
2023-09-06,1916.445
2023-09-07,1919.66
2023-09-08,1919.085
2023-09-11,1922.38
2023-09-12,1913.43
2023-09-13,1908.32
2023-09-14,1910.72
2023-09-15,1923.92
2023-09-18,1933.695
2023-09-19,1931.36
2023-09-20,1930.62
2023-09-21,1920.1
2023-09-22,1925.47
2023-09-25,1916.015
2023-09-26,1900.67
2023-09-27,1874.885
2023-09-28,1864.79
2023-09-29,1848.695
2023-10-02,1827.89
2023-10-03,1822.905
2023-10-04,1821.315
2023-10-05,1820.3
2023-10-06,1832.035
2023-10-09,1861.42
2023-10-10,1860.46
2023-10-11,1874.055
2023-10-12,1868.835
2023-10-13,1932.26
2023-10-16,1920.165
2023-10-17,1923.23
2023-10-18,1947.82
2023-10-19,1974.075
2023-10-20,1980.9
2023-10-23,1972.84
2023-10-24,1971.025
2023-10-25,1979.955
2023-10-26,1984.95
2023-10-27,2006.09
2023-10-30,1996.26
2023-10-31,1983.9
2023-11-01,1982.355
2023-11-02,1985.91
2023-11-03,1992.59
2023-11-06,1977.975
2023-11-07,1969.3
2023-11-08,1950.28
2023-11-09,1958.26
2023-11-10,1938.385
2023-11-13,1946.155
2023-11-14,1963.175
2023-11-15,1959.545
2023-11-16,1981.385
2023-11-17,1980.73
2023-11-20,1977.805
2023-11-21,1998.525
2023-11-22,1989.885
2023-11-23,1992.89
2023-11-24,2002.495
2023-11-27,2014.175
2023-11-28,2040.97
2023-11-29,2044.32
2023-11-30,2036.165
2023-12-01,2071.88
2023-12-04,2029.04
2023-12-05,2019.345
2023-12-06,2025.525
2023-12-07,2028.515
2023-12-08,2004.455
2023-12-11,1981.84
2023-12-12,1979.435
2023-12-13,2027.575
2023-12-14,2036.265
2023-12-15,2019.54
2023-12-18,2027.24
2023-12-19,2040.245
2023-12-20,2031.705
2023-12-21,2045.92
2023-12-22,2053.2
2023-12-26,2067.71
2023-12-27,2077.12
2023-12-28,2065.265
2023-12-29,2063.05
2024-01-02,2059.045
2024-01-03,2041.29
2024-01-04,2043.43
2024-01-05,2045.59
2024-01-08,2028.035
2024-01-09,2030.035
2024-01-10,2024.32
2024-01-11,2029.015
2024-01-12,2049.155
2024-01-15,2054.765
2024-01-16,2028.505
2024-01-17,2006.335
2024-01-18,2023.03
2024-01-19,2029.62
2024-01-22,2021.685
2024-01-23,2029.155
2024-01-24,2014.245
2024-01-25,2020.94
2024-01-26,2018.59
2024-01-29,2032.545
2024-01-30,2036.83
2024-01-31,2039.155
2024-02-01,2054.825
2024-02-02,2039.75
2024-02-05,2024.89
2024-02-06,2035.885
2024-02-07,2035.0
2024-02-08,2034.21
2024-02-09,2024.4
2024-02-12,2020.01
2024-02-13,1993.09
2024-02-14,1992.365
2024-02-15,2004.4
2024-02-16,2013.23
2024-02-19,2017.945
2024-02-20,2024.415
2024-02-21,2026.04
2024-02-22,2024.355
2024-02-23,2035.375
2024-02-26,2031.25
2024-02-27,2030.445
2024-02-28,2034.46
2024-02-29,2044.29
2024-03-01,2082.73
2024-03-04,2114.365
2024-03-05,2128.045
2024-03-06,2148.15
