DATE,USDBDT
2010-09-21,68.2509994506836
2010-09-22,68.34500122070312
2010-09-23,68.29000091552734
2010-09-24,68.052001953125
2010-09-27,67.78600311279297
2010-09-28,68.0780029296875
2010-09-29,68.05999755859375
2010-09-30,68.08200073242188
2010-10-01,68.17400360107422
2010-10-04,67.65799713134766
2010-10-05,69.1969985961914
2010-10-06,68.91899871826172
2010-10-07,69.26699829101562
2010-10-08,68.64099884033203
2010-10-11,68.42900085449219
2010-10-12,69.22899627685547
2010-10-13,68.81900024414062
2010-10-14,68.8499984741211
2010-10-15,68.85099792480469
2010-10-18,69.4530029296875
2010-10-19,68.49099731445312
2010-10-20,68.84600067138672
2010-10-21,68.94999694824219
2010-10-22,69.13600158691406
2010-10-25,68.99800109863281
2010-10-26,65.40599822998047
2010-10-27,69.54000091552734
